,player_lines,Act No.
282,"    Now follows, that you know, young Fortinbras,
",ACT I.
283,"    Holding a weak supposal of our worth,
",ACT I.
284,"    Or thinking by our late dear brother's death
",ACT I.
285,"    Our state to be disjoint and out of frame,
",ACT I.
286,"    Colleagued with this dream of his advantage,
",ACT I.
287,"    He hath not fail'd to pester us with message
",ACT I.
288,"    Importing the surrender of those lands
",ACT I.
289,"    Lost by his father, with all bands of law,
",ACT I.
290,"    To our most valiant brother. So much for him.
",ACT I.
291,"    Now for ourself and for this time of meeting.
",ACT I.
292,"    Thus much the business is: we have here writ
",ACT I.
293,"    To Norway, uncle of young Fortinbras,
",ACT I.
294,"    Who, impotent and bedrid, scarcely hears
",ACT I.
295,"    Of this his nephew's purpose, to suppress
",ACT I.
296,"    His further gait herein, in that the levies,
",ACT I.
297,"    The lists, and full proportions are all made
",ACT I.
298,"    Out of his subject; and we here dispatch
",ACT I.
299,"    You, good Cornelius, and you, Voltemand,
",ACT I.
300,"    For bearers of this greeting to old Norway,  
",ACT I.
301,"    Giving to you no further personal power
",ACT I.
302,"    To business with the King, more than the scope
",ACT I.
303,"    Of these dilated articles allow.            [Gives a paper.]
",ACT I.
304,"    Farewell, and let your haste commend your duty.
",ACT I.
305,"  Cor., Volt. In that, and all things, will we show our duty.
",ACT I.
306,"  King. We doubt it nothing. Heartily farewell.
",ACT I.
307,"                                 Exeunt Voltemand and Cornelius.
",ACT I.
308,"    And now, Laertes, what's the news with you?
",ACT I.
309,"    You told us of some suit. What is't, Laertes?
",ACT I.
310,"    You cannot speak of reason to the Dane
",ACT I.
311,"    And lose your voice. What wouldst thou beg, Laertes,
",ACT I.
312,"    That shall not be my offer, not thy asking?
",ACT I.
313,"    The head is not more native to the heart,
",ACT I.
314,"    The hand more instrumental to the mouth,
",ACT I.
315,"    Than is the throne of Denmark to thy father.
",ACT I.
316,"    What wouldst thou have, Laertes?
",ACT I.
317,"  Laer. My dread lord,
",ACT I.
318,"    Your leave and favour to return to France;
",ACT I.
319,"    From whence though willingly I came to Denmark
",ACT I.
320,"    To show my duty in your coronation,  
",ACT I.
321,"    Yet now I must confess, that duty done,
",ACT I.
322,"    My thoughts and wishes bend again toward France
",ACT I.
323,"    And bow them to your gracious leave and pardon.
",ACT I.
324,"  King. Have you your father's leave? What says Polonius?
",ACT I.
325,"  Pol. He hath, my lord, wrung from me my slow leave
",ACT I.
326,"    By laboursome petition, and at last
",ACT I.
327,"    Upon his will I seal'd my hard consent.
",ACT I.
328,"    I do beseech you give him leave to go.
",ACT I.
329,"  King. Take thy fair hour, Laertes. Time be thine,
",ACT I.
330,"    And thy best graces spend it at thy will!
",ACT I.
331,"    But now, my cousin Hamlet, and my son-
",ACT I.
332,"  Ham. [aside] A little more than kin, and less than kind!
",ACT I.
333,"  King. How is it that the clouds still hang on you?
",ACT I.
334,"  Ham. Not so, my lord. I am too much i' th' sun.
",ACT I.
335,"  Queen. Good Hamlet, cast thy nighted colour off,
",ACT I.
336,"    And let thine eye look like a friend on Denmark.
",ACT I.
337,"    Do not for ever with thy vailed lids
",ACT I.
338,"    Seek for thy noble father in the dust.
",ACT I.
339,"    Thou know'st 'tis common. All that lives must die,
",ACT I.
340,"    Passing through nature to eternity.  
",ACT I.
341,"  Ham. Ay, madam, it is common.
",ACT I.
342,"  Queen. If it be,
",ACT I.
343,"    Why seems it so particular with thee?
",ACT I.
344,"  Ham. Seems, madam, Nay, it is. I know not 'seems.'
",ACT I.
345,"    'Tis not alone my inky cloak, good mother,
",ACT I.
346,"    Nor customary suits of solemn black,
",ACT I.
347,"    Nor windy suspiration of forc'd breath,
",ACT I.
348,"    No, nor the fruitful river in the eye,
",ACT I.
349,"    Nor the dejected havior of the visage,
",ACT I.
350,"    Together with all forms, moods, shapes of grief,
",ACT I.
351,"    'That can denote me truly. These indeed seem,
",ACT I.
352,"    For they are actions that a man might play;
",ACT I.
353,"    But I have that within which passeth show-
",ACT I.
354,"    These but the trappings and the suits of woe.
",ACT I.
355,"  King. 'Tis sweet and commendable in your nature, Hamlet,
",ACT I.
356,"    To give these mourning duties to your father;
",ACT I.
357,"    But you must know, your father lost a father;
",ACT I.
358,"    That father lost, lost his, and the survivor bound
",ACT I.
359,"    In filial obligation for some term
",ACT I.
360,"    To do obsequious sorrow. But to persever  
",ACT I.
361,"    In obstinate condolement is a course
",ACT I.
362,"    Of impious stubbornness. 'Tis unmanly grief;
",ACT I.
363,"    It shows a will most incorrect to heaven,
",ACT I.
364,"    A heart unfortified, a mind impatient,
",ACT I.
365,"    An understanding simple and unschool'd;
",ACT I.
366,"    For what we know must be, and is as common
",ACT I.
367,"    As any the most vulgar thing to sense,
",ACT I.
368,"    Why should we in our peevish opposition
",ACT I.
369,"    Take it to heart? Fie! 'tis a fault to heaven,
",ACT I.
370,"    A fault against the dead, a fault to nature,
",ACT I.
371,"    To reason most absurd, whose common theme
",ACT I.
372,"    Is death of fathers, and who still hath cried,
",ACT I.
373,"    From the first corse till he that died to-day,
",ACT I.
374,"    'This must be so.' We pray you throw to earth
",ACT I.
375,"    This unprevailing woe, and think of us
",ACT I.
376,"    As of a father; for let the world take note
",ACT I.
377,"    You are the most immediate to our throne,
",ACT I.
378,"    And with no less nobility of love
",ACT I.
379,"    Than that which dearest father bears his son
",ACT I.
380,"    Do I impart toward you. For your intent  
",ACT I.
381,"    In going back to school in Wittenberg,
",ACT I.
382,"    It is most retrograde to our desire;
",ACT I.
383,"    And we beseech you, bend you to remain
",ACT I.
384,"    Here in the cheer and comfort of our eye,
",ACT I.
385,"    Our chiefest courtier, cousin, and our son.
",ACT I.
386,"  Queen. Let not thy mother lose her prayers, Hamlet.
",ACT I.
387,"    I pray thee stay with us, go not to Wittenberg.
",ACT I.
388,"  Ham. I shall in all my best obey you, madam.
",ACT I.
389,"  King. Why, 'tis a loving and a fair reply.
",ACT I.
390,"    Be as ourself in Denmark. Madam, come.
",ACT I.
391,"    This gentle and unforc'd accord of Hamlet
",ACT I.
392,"    Sits smiling to my heart; in grace whereof,
",ACT I.
393,"    No jocund health that Denmark drinks to-day
",ACT I.
394,"    But the great cannon to the clouds shall tell,
",ACT I.
395,"    And the King's rouse the heaven shall bruit again,
",ACT I.
396,"    Respeaking earthly thunder. Come away.
",ACT I.
397,"                                Flourish. Exeunt all but Hamlet.
",ACT I.
398,"  Ham. O that this too too solid flesh would melt,
",ACT I.
399,"    Thaw, and resolve itself into a dew!
",ACT I.
400,"    Or that the Everlasting had not fix'd  
",ACT I.
401,"    His canon 'gainst self-slaughter! O God! God!
",ACT I.
402,"    How weary, stale, flat, and unprofitable
",ACT I.
403,"    Seem to me all the uses of this world!
",ACT I.
404,"    Fie on't! ah, fie! 'Tis an unweeded garden
",ACT I.
405,"    That grows to seed; things rank and gross in nature
",ACT I.
406,"    Possess it merely. That it should come to this!
",ACT I.
407,"    But two months dead! Nay, not so much, not two.
",ACT I.
408,"    So excellent a king, that was to this
",ACT I.
409,"    Hyperion to a satyr; so loving to my mother
",ACT I.
410,"    That he might not beteem the winds of heaven
",ACT I.
411,"    Visit her face too roughly. Heaven and earth!
",ACT I.
412,"    Must I remember? Why, she would hang on him
",ACT I.
413,"    As if increase of appetite had grown
",ACT I.
414,"    By what it fed on; and yet, within a month-
",ACT I.
415,"    Let me not think on't! Frailty, thy name is woman!-
",ACT I.
416,"    A little month, or ere those shoes were old
",ACT I.
417,"    With which she followed my poor father's body
",ACT I.
418,"    Like Niobe, all tears- why she, even she
",ACT I.
419,"    (O God! a beast that wants discourse of reason
",ACT I.
420,"    Would have mourn'd longer) married with my uncle;  
",ACT I.
421,"    My father's brother, but no more like my father
",ACT I.
422,"    Than I to Hercules. Within a month,
",ACT I.
423,"    Ere yet the salt of most unrighteous tears
",ACT I.
424,"    Had left the flushing in her galled eyes,
",ACT I.
425,"    She married. O, most wicked speed, to post
",ACT I.
426,"    With such dexterity to incestuous sheets!
",ACT I.
427,"    It is not, nor it cannot come to good.
",ACT I.
428,"    But break my heart, for I must hold my tongue!
",ACT I.
429,"
",ACT I.
430,"          Enter Horatio, Marcellus, and Bernardo.
",ACT I.
431,"
",ACT I.
432,"  Hor. Hail to your lordship!
",ACT I.
433,"  Ham. I am glad to see you well.
",ACT I.
434,"    Horatio!- or I do forget myself.
",ACT I.
435,"  Hor. The same, my lord, and your poor servant ever.
",ACT I.
436,"  Ham. Sir, my good friend- I'll change that name with you.
",ACT I.
437,"    And what make you from Wittenberg, Horatio?
",ACT I.
438,"    Marcellus?
",ACT I.
439,"  Mar. My good lord!
",ACT I.
440,"  Ham. I am very glad to see you.- [To Bernardo] Good even, sir.-  
",ACT I.
441,"    But what, in faith, make you from Wittenberg?
",ACT I.
442,"  Hor. A truant disposition, good my lord.
",ACT I.
443,"  Ham. I would not hear your enemy say so,
",ACT I.
444,"    Nor shall you do my ear that violence
",ACT I.
445,"    To make it truster of your own report
",ACT I.
446,"    Against yourself. I know you are no truant.
",ACT I.
447,"    But what is your affair in Elsinore?
",ACT I.
448,"    We'll teach you to drink deep ere you depart.
",ACT I.
449,"  Hor. My lord, I came to see your father's funeral.
",ACT I.
450,"  Ham. I prithee do not mock me, fellow student.
",ACT I.
451,"    I think it was to see my mother's wedding.
",ACT I.
452,"  Hor. Indeed, my lord, it followed hard upon.
",ACT I.
453,"  Ham. Thrift, thrift, Horatio! The funeral bak'd meats
",ACT I.
454,"    Did coldly furnish forth the marriage tables.
",ACT I.
455,"    Would I had met my dearest foe in heaven
",ACT I.
456,"    Or ever I had seen that day, Horatio!
",ACT I.
457,"    My father- methinks I see my father.
",ACT I.
458,"  Hor. O, where, my lord?
",ACT I.
459,"  Ham. In my mind's eye, Horatio.
",ACT I.
460,"  Hor. I saw him once. He was a goodly king.  
",ACT I.
461,"  Ham. He was a man, take him for all in all.
",ACT I.
462,"    I shall not look upon his like again.
",ACT I.
463,"  Hor. My lord, I think I saw him yesternight.
",ACT I.
464,"  Ham. Saw? who?
",ACT I.
465,"  Hor. My lord, the King your father.
",ACT I.
466,"  Ham. The King my father?
",ACT I.
467,"  Hor. Season your admiration for a while
",ACT I.
468,"    With an attent ear, till I may deliver
",ACT I.
469,"    Upon the witness of these gentlemen,
",ACT I.
470,"    This marvel to you.
",ACT I.
471,"  Ham. For God's love let me hear!
",ACT I.
472,"  Hor. Two nights together had these gentlemen
",ACT I.
473,"    (Marcellus and Bernardo) on their watch
",ACT I.
474,"    In the dead vast and middle of the night
",ACT I.
475,"    Been thus encount'red. A figure like your father,
",ACT I.
476,"    Armed at point exactly, cap-a-pe,
",ACT I.
477,"    Appears before them and with solemn march
",ACT I.
478,"    Goes slow and stately by them. Thrice he walk'd
",ACT I.
479,"    By their oppress'd and fear-surprised eyes,
",ACT I.
480,"    Within his truncheon's length; whilst they distill'd  
",ACT I.
481,"    Almost to jelly with the act of fear,
",ACT I.
482,"    Stand dumb and speak not to him. This to me
",ACT I.
483,"    In dreadful secrecy impart they did,
",ACT I.
484,"    And I with them the third night kept the watch;
",ACT I.
485,"    Where, as they had deliver'd, both in time,
",ACT I.
486,"    Form of the thing, each word made true and good,
",ACT I.
487,"    The apparition comes. I knew your father.
",ACT I.
488,"    These hands are not more like.
",ACT I.
489,"  Ham. But where was this?
",ACT I.
490,"  Mar. My lord, upon the platform where we watch'd.
",ACT I.
491,"  Ham. Did you not speak to it?
",ACT I.
492,"  Hor. My lord, I did;
",ACT I.
493,"    But answer made it none. Yet once methought
",ACT I.
494,"    It lifted up it head and did address
",ACT I.
495,"    Itself to motion, like as it would speak;
",ACT I.
496,"    But even then the morning cock crew loud,
",ACT I.
497,"    And at the sound it shrunk in haste away
",ACT I.
498,"    And vanish'd from our sight.
",ACT I.
499,"  Ham. 'Tis very strange.
",ACT I.
500,"  Hor. As I do live, my honour'd lord, 'tis true;  
",ACT I.
501,"    And we did think it writ down in our duty
",ACT I.
502,"    To let you know of it.
",ACT I.
503,"  Ham. Indeed, indeed, sirs. But this troubles me.
",ACT I.
504,"    Hold you the watch to-night?
",ACT I.
505,"  Both [Mar. and Ber.] We do, my lord.
",ACT I.
506,"  Ham. Arm'd, say you?
",ACT I.
507,"  Both. Arm'd, my lord.
",ACT I.
508,"  Ham. From top to toe?
",ACT I.
509,"  Both. My lord, from head to foot.
",ACT I.
510,"  Ham. Then saw you not his face?
",ACT I.
511,"  Hor. O, yes, my lord! He wore his beaver up.
",ACT I.
512,"  Ham. What, look'd he frowningly.
",ACT I.
513,"  Hor. A countenance more in sorrow than in anger.
",ACT I.
514,"  Ham. Pale or red?
",ACT I.
515,"  Hor. Nay, very pale.
",ACT I.
516,"  Ham. And fix'd his eyes upon you?
",ACT I.
517,"  Hor. Most constantly.
",ACT I.
518,"  Ham. I would I had been there.
",ACT I.
519,"  Hor. It would have much amaz'd you.
",ACT I.
520,"  Ham. Very like, very like. Stay'd it long?  
",ACT I.
521,"  Hor. While one with moderate haste might tell a hundred.
",ACT I.
522,"  Both. Longer, longer.
",ACT I.
523,"  Hor. Not when I saw't.
",ACT I.
524,"  Ham. His beard was grizzled- no?
",ACT I.
525,"  Hor. It was, as I have seen it in his life,
",ACT I.
526,"    A sable silver'd.
",ACT I.
527,"  Ham. I will watch to-night.
",ACT I.
528,"    Perchance 'twill walk again.
",ACT I.
529,"  Hor. I warr'nt it will.
",ACT I.
530,"  Ham. If it assume my noble father's person,
",ACT I.
531,"    I'll speak to it, though hell itself should gape
",ACT I.
532,"    And bid me hold my peace. I pray you all,
",ACT I.
533,"    If you have hitherto conceal'd this sight,
",ACT I.
534,"    Let it be tenable in your silence still;
",ACT I.
535,"    And whatsoever else shall hap to-night,
",ACT I.
536,"    Give it an understanding but no tongue.
",ACT I.
537,"    I will requite your loves. So, fare you well.
",ACT I.
538,"    Upon the platform, 'twixt eleven and twelve,
",ACT I.
539,"    I'll visit you.
",ACT I.
540,"  All. Our duty to your honour.  
",ACT I.
541,"  Ham. Your loves, as mine to you. Farewell.
",ACT I.
542,"                                        Exeunt [all but Hamlet].
",ACT I.
543,"    My father's spirit- in arms? All is not well.
",ACT I.
544,"    I doubt some foul play. Would the night were come!
",ACT I.
545,"    Till then sit still, my soul. Foul deeds will rise,
",ACT I.
546,"    Though all the earth o'erwhelm them, to men's eyes.
",ACT I.
547,"Exit.
",ACT I.
548,"
",ACT I.
549,"
",ACT I.
550,"
",ACT I.
551,"
",ACT I.
552,"Scene III.
",ACT I.
553,"Elsinore. A room in the house of Polonius.
",ACT I.
554,"
",ACT I.
555,"Enter Laertes and Ophelia.
",ACT I.
556,"
",ACT I.
557,"  Laer. My necessaries are embark'd. Farewell.
",ACT I.
558,"    And, sister, as the winds give benefit
",ACT I.
559,"    And convoy is assistant, do not sleep,
",ACT I.
560,"    But let me hear from you.
",ACT I.
561,"  Oph. Do you doubt that?
",ACT I.
562,"  Laer. For Hamlet, and the trifling of his favour,
",ACT I.
563,"    Hold it a fashion, and a toy in blood;
",ACT I.
564,"    A violet in the youth of primy nature,
",ACT I.
565,"    Forward, not permanent- sweet, not lasting;
",ACT I.
566,"    The perfume and suppliance of a minute;
",ACT I.
567,"    No more.
",ACT I.
568,"  Oph. No more but so?
",ACT I.
569,"  Laer. Think it no more.
",ACT I.
570,"    For nature crescent does not grow alone
",ACT I.
571,"    In thews and bulk; but as this temple waxes,
",ACT I.
572,"    The inward service of the mind and soul
",ACT I.
573,"    Grows wide withal. Perhaps he loves you now,  
",ACT I.
574,"    And now no soil nor cautel doth besmirch
",ACT I.
575,"    The virtue of his will; but you must fear,
",ACT I.
576,"    His greatness weigh'd, his will is not his own;
",ACT I.
577,"    For he himself is subject to his birth.
",ACT I.
